dataset,dataset_display,generator,generator_display,n_items,hybrid_avg_match_proportion,prior_cosine_avg_match_proportion,any_formula_like_item_rate,mean_formula_like_choice_count,hybrid_avg_match_percent,prior_cosine_avg_match_percent,delta_vs_prior_percent_points
arc_challenge,ARC,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,995,0.22177554438860972,0.22948073701842545,0.08442211055276382,0.47035175879396984,22.177554438860973,22.948073701842546,-0.7705192629815727
arc_challenge,ARC,openai/gpt-5.2-2025-12-11,GPT-5.2,995,0.14673366834170853,0.15678391959798996,0.0964824120603015,0.4814070351758794,14.673366834170853,15.678391959798995,-1.0050251256281424
arc_challenge,ARC,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,995,0.19798994974874373,0.2083752093802345,0.08944723618090453,0.47537688442211057,19.798994974874372,20.83752093802345,-1.0385259631490769
gpqa,GPQA,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,415,0.24819277108433735,0.4546184738955823,0.8313253012048193,4.619277108433735,24.819277108433734,45.46184738955823,-20.642570281124495
gpqa,GPQA,openai/gpt-5.2-2025-12-11,GPT-5.2,415,0.19357429718875502,0.3654618473895582,0.8650602409638555,4.686746987951807,19.3574297188755,36.54618473895582,-17.188755020080322
gpqa,GPQA,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,415,0.21365461847389555,0.41365461847389556,0.8337349397590361,4.602409638554217,21.365461847389554,41.365461847389554,-20.0
mmlu_pro,MMLU,google/gemini-3.1-pro-preview,Gemini-3.1 Pro,954,0.15828092243186584,0.16317260656883295,0.12159329140461216,0.3480083857442348,15.828092243186584,16.317260656883295,-0.4891684136967118
mmlu_pro,MMLU,openai/gpt-5.2-2025-12-11,GPT-5.2,954,0.08315863032844165,0.08770090845562542,0.18134171907756813,0.44654088050314467,8.315863032844165,8.770090845562542,-0.4542278127183774
mmlu_pro,MMLU,together/Qwen/Qwen3.5-397B-A17B,Qwen-3.5,954,0.12299091544374563,0.12962962962962962,0.11740041928721175,0.33542976939203356,12.299091544374562,12.962962962962962,-0.6638714185883998
