eval_model,eval_model_display,setting,distractor_source,count,proportion
vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round1,1660,0.46472564389697646
vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round2,1912,0.5352743561030235
vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round1,1588,0.46940585279337865
vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round2,1795,0.5305941472066213
vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round1,2031,0.4534494306764903
vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round2,2448,0.5465505693235098
vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round1,2247,0.4453914767096135
vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round2,2798,0.5546085232903866
vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round1,1876,0.4027479604980678
vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round2,2782,0.5972520395019322
vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round1,1927,0.4229587357330992
vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round2,2629,0.5770412642669008
